# object name: SOLAR_PANEL+Z
3.141593 0.785398 0.470588

-3.141593 1.047198 0.352941
-2.879793 1.047198 0.585366
-2.617994 1.047198 0.741379
-2.356194 1.047198 0.782609
-2.094395 1.047198 0.820513
-1.832596 1.047198 0.857143
-1.570796 1.047198 1.000000
-1.308997 1.047198 0.857143
-1.047198 1.047198 0.820513
-0.785398 1.047198 0.782609
-0.523599 1.047198 0.741379
-0.261799 1.047198 0.585366
0.000000 1.047198 0.352941
0.261799 1.047198 0.155556
0.523599 1.047198 0.126984
0.785398 1.047198 0.084507
1.047198 1.047198 0.050000
1.308997 1.047198 0.000000
1.570796 1.047198 0.000000
1.832596 1.047198 0.000000
2.094395 1.047198 0.050000
2.356194 1.047198 0.084507
2.617994 1.047198 0.126984
2.879793 1.047198 0.155556
3.141593 1.047198 0.352941

-3.141593 1.308997 0.200000
-2.879793 1.308997 0.393939
-2.617994 1.308997 0.571429
-2.356194 1.308997 0.600000
-2.094395 1.308997 0.641509
-1.832596 1.308997 0.673077
-1.570796 1.308997 0.750000
-1.308997 1.308997 0.673077
-1.047198 1.308997 0.641509
-0.785398 1.308997 0.600000
-0.523599 1.308997 0.571429
-0.261799 1.308997 0.393939
0.000000 1.308997 0.200000
0.261799 1.308997 0.088235
0.523599 1.308997 0.088889
0.785398 1.308997 0.041667
1.047198 1.308997 0.035088
1.308997 1.308997 0.000000
1.570796 1.308997 0.000000
1.832596 1.308997 0.000000
2.094395 1.308997 0.035088
2.356194 1.308997 0.041667
2.617994 1.308997 0.088889
2.879793 1.308997 0.088235
3.141593 1.308997 0.200000

-3.141593 1.570796 0.000000
-2.879793 1.570796 0.000000
-2.617994 1.570796 0.000000
-2.356194 1.570796 0.000000
-2.094395 1.570796 0.000000
-1.832596 1.570796 0.000000
